ADATA 480 -736 -16144
MDATA -175 -365 334
ADATA 576 -800 -16176
MDATA -179 -365 335
ADATA 496 -784 -16224
MDATA -181 -357 335
ADATA 496 -848 -16208
MDATA -176 -361 334
ADATA 528 -768 -16208
MDATA -172 -363 338
ADATA 512 -784 -16144
MDATA -174 -353 335
ADATA 560 -816 -16176
MDATA -170 -358 338
ADATA 528 -816 -16160
MDATA -175 -360 327
ADATA 512 -800 -16144
MDATA -169 -362 335
ADATA 544 -752 -16208
MDATA -175 -370 327
ADATA 528 -832 -16192
MDATA -160 -368 340
ADATA 496 -832 -16096
MDATA -175 -370 334
ADATA 512 -784 -16160
MDATA -173 -374 336
ADATA 496 -768 -16160
MDATA -168 -353 336
ADATA 480 -800 -16160
MDATA -176 -364 337
ADATA 544 -800 -16240
MDATA -177 -362 332
ADATA 512 -784 -16192
MDATA -174 -367 336
ADATA 496 -768 -16208
MDATA -177 -361 334
ADATA 464 -816 -16144
MDATA -168 -358 339
ADATA 528 -800 -16208
MDATA -173 -366 331
ADATA 496 -832 -16272
MDATA -176 -360 331
ADATA 544 -816 -16240
MDATA -179 -368 329
ADATA 496 -848 -16160
MDATA -174 -363 337
ADATA 576 -768 -16176
MDATA -170 -361 340
ADATA 528 -832 -16176
MDATA -175 -365 328
ADATA 512 -752 -16128
MDATA -174 -362 337
ADATA 480 -784 -16224
MDATA -169 -362 334
ADATA 544 -848 -16240
MDATA -177 -369 336
ADATA 528 -768 -16160
MDATA -174 -367 326
ADATA 512 -832 -16144
MDATA -173 -368 332
ADATA 496 -816 -16160
MDATA -175 -368 335
ADATA 512 -816 -16192
MDATA -170 -358 337
ADATA 544 -752 -16176
MDATA -173 -359 327
ADATA 544 -800 -16208
MDATA -171 -363 324
ADATA 544 -800 -16128
MDATA -186 -358 331
ADATA 528 -848 -16240
MDATA -180 -362 330
ADATA 512 -784 -16160
MDATA -170 -361 326
ADATA 576 -768 -16208
MDATA -177 -362 340
ADATA 528 -784 -16224
MDATA -176 -361 326
ADATA 496 -800 -16160
MDATA -174 -363 329
ADATA 544 -768 -16208
MDATA -177 -366 335
ADATA 528 -816 -16224
MDATA -172 -357 328
ADATA 512 -800 -16128
MDATA -166 -366 332
ADATA 496 -816 -16240
MDATA -176 -361 329
ADATA 560 -800 -16160
MDATA -166 -365 326
ADATA 480 -816 -16192
MDATA -169 -357 338
ADATA 528 -784 -16208
MDATA -175 -367 330
ADATA 544 -768 -16192
MDATA -174 -357 337
ADATA 544 -768 -16208
MDATA -176 -362 333
ADATA 576 -816 -16160
MDATA -174 -368 331
ADATA 560 -832 -16112
MDATA -172 -366 342
ADATA 480 -784 -16192
MDATA -176 -362 333
ADATA 480 -800 -16192
MDATA -171 -362 336
ADATA 512 -816 -16160
MDATA -179 -365 343
ADATA 512 -832 -16192
MDATA -184 -362 338
ADATA 496 -800 -16128
MDATA -173 -364 327
ADATA 512 -784 -16208
MDATA -174 -364 330
ADATA 576 -832 -16224
MDATA -176 -373 326
ADATA 560 -832 -16160
MDATA -174 -365 343
ADATA 544 -768 -16128
MDATA -172 -359 333
ADATA 544 -832 -16240
MDATA -176 -361 335
ADATA 496 -832 -16160
MDATA -177 -358 336
ADATA 528 -768 -16224
MDATA -178 -357 333
ADATA 496 -768 -16160
MDATA -172 -360 333
ADATA 512 -832 -16192
MDATA -177 -362 327
ADATA 512 -752 -16208
MDATA -175 -364 335
ADATA 512 -816 -16208
MDATA -172 -367 328
ADATA 528 -832 -16160
MDATA -178 -368 337
ADATA 496 -816 -16176
MDATA -178 -367 334
ADATA 544 -784 -16176
MDATA -180 -367 331
ADATA 512 -768 -16176
MDATA -175 -358 337
ADATA 576 -768 -16176
MDATA -177 -361 343
ADATA 528 -768 -16160
MDATA -174 -367 337
ADATA 512 -800 -16208
MDATA -175 -365 336
ADATA 576 -752 -16208
MDATA -182 -356 331
ADATA 480 -768 -16160
MDATA -173 -366 331
